12/12/1980,0.128348,0.128906,0.128348,0.128348,0.101087,469033600
15/12/1980,0.12221,0.12221,0.121652,0.121652,0.095813,175884800
16/12/1980,0.113281,0.113281,0.112723,0.112723,0.08878,105728000
17/12/1980,0.115513,0.116071,0.115513,0.115513,0.090978,86441600
18/12/1980,0.118862,0.11942,0.118862,0.118862,0.093615,73449600
19/12/1980,0.126116,0.126674,0.126116,0.126116,0.099329,48630400
22/12/1980,0.132254,0.132813,0.132254,0.132254,0.104163,37363200
23/12/1980,0.137835,0.138393,0.137835,0.137835,0.108558,46950400
24/12/1980,0.145089,0.145647,0.145089,0.145089,0.114272,48003200
26/12/1980,0.158482,0.15904,0.158482,0.158482,0.12482,55574400
29/12/1980,0.160714,0.161272,0.160714,0.160714,0.126578,93161600
30/12/1980,0.157366,0.157366,0.156808,0.156808,0.123502,68880000
31/12/1980,0.152902,0.152902,0.152344,0.152344,0.119985,35750400
02/01/1981,0.154018,0.155134,0.154018,0.154018,0.121304,21660800
05/01/1981,0.151228,0.151228,0.15067,0.15067,0.118667,35728000
06/01/1981,0.144531,0.144531,0.143973,0.143973,0.113393,45158400
07/01/1981,0.138393,0.138393,0.137835,0.137835,0.108558,55686400
08/01/1981,0.135603,0.135603,0.135045,0.135045,0.106361,39827200
09/01/1981,0.142299,0.142857,0.142299,0.142299,0.112074,21504000
12/01/1981,0.142299,0.142299,0.141183,0.141183,0.111195,23699200
13/01/1981,0.136719,0.136719,0.136161,0.136161,0.10724,23049600
14/01/1981,0.136719,0.137277,0.136719,0.136719,0.107679,14291200
15/01/1981,0.139509,0.140625,0.139509,0.139509,0.109877,14067200
16/01/1981,0.138951,0.138951,0.138393,0.138393,0.108998,13395200
19/01/1981,0.146763,0.147321,0.146763,0.146763,0.11559,41574400
20/01/1981,0.142857,0.142857,0.142299,0.142299,0.112074,30083200
21/01/1981,0.145089,0.146205,0.145089,0.145089,0.114272,15904000
22/01/1981,0.146763,0.147879,0.146763,0.146763,0.11559,35548800
23/01/1981,0.146763,0.147321,0.146205,0.146205,0.115151,11222400
26/01/1981,0.144531,0.144531,0.143973,0.143973,0.113393,24640000
27/01/1981,0.143973,0.143973,0.142857,0.142857,0.112514,23699200
28/01/1981,0.138951,0.138951,0.138393,0.138393,0.108998,28156800
29/01/1981,0.133929,0.133929,0.133371,0.133371,0.105042,43904000
30/01/1981,0.127232,0.127232,0.126116,0.126116,0.099329,46188800
02/02/1981,0.11942,0.11942,0.118862,0.118862,0.093615,23766400
03/02/1981,0.123326,0.123884,0.123326,0.123326,0.097131,19152000
04/02/1981,0.12779,0.128348,0.12779,0.12779,0.100647,27865600
